id,name
1103,Readers Digest
1104,Bristol Classical Press
1105,Chatto and Windus
1106,Rutgers University Press
1107,Cliffs Notes
1108,Windsor Golden Series
1109,Gaia Books
1110,Crown Forum
1111,Penguin Classics Deluxe Editions
1112,Square One Publishers
1113,DAW Fantasy
1114,Salamandra
1115,Barnes  Noble
1116,French & European
1117,Sophia Institute Press
1118,Checkmark Books
1119,Black Sparrow Press
1120,Dover Publications  Inc.
1121,Umbriel
1122,Anchor Books
1123,Seal Press
1124,Random House Inc.
1125,Rowman & Littlefield Publishers
1126,Naiad Press
1127,Ellora's Cave
1128,Writer's Digest Books
1129,University Press of Kansas
1130,University Press of Kentucky
1131,Random House
1132,Robert Rose
1133,Northwestern Univ Press
1134,University of Massachusetts Press
1135,Reclam  Ditzingen
1136,Headline Feature
1137,Knopf
1138,Atlantic
1139,Chatto & Windus
1140,Pantheon Books
1141,Zebra Books
1142,Basic Books (AZ)
1143,Sleeping Bear Press
1144,Disney Press
1145,Alfred A. Knopf Books for Young Readers
1146,Deseret Book Company
1147,Bloomsbury USA Childrens
1148,Phoenix Press
1149,Harper Perennial
1150,Jove
1151,W. W. Norton & Company
1152,Naxos Audiobooks
1153,1st Book Library
1154,Bloomsbury Paperbacks
1155,Editorial Diana
1156,Taunton Press
1157,Harlequin Temptation
1158,B.E.S. Publishing
1159,Booklocker.com  Inc.
1160,Waveland Press
1161,Cook's Illustrated
1162,SaltRiver
1163,Piemme
1164,Timber Press (OR)
1165,Gramercy Books
1166,Forge Books
1167,Montlake Romance
1168,McClelland & Stewart
1169,Bantam Books
1170,Emece Editores
1171,See Sharp Press
1172,Marvel Comics
1173,Clarkson Potter/Publishers
1174,Lulu.com
1175,Orion (an Imprint of The Orion Publishing Group Ltd )
1176,Droemer Knaur
1177,Backstage Books
1178,Orion Publishing
1179,Gramedia Pustaka Utama
1180,Dragonfly Books
1181,Bureau of Public Secrets
1182,New Press (NY)
1183,HarperFestival
1184,Fourth Estate Paperbacks
1185,Moody Publishers
1186,Backinprint.com
1187,btb
1188,LGF
1189,Piper Verlag
1190,Courage Books
1191,Hci
1192,American Girl Publishing Inc
1193,Contemporary Books
1194,Tin House Books
1195,Southern Methodist University Press
1196,Andrews and McMeel
1197,Grand Central Life & Style
1198,Bloomsbury Publishing PLC
1199,Del Rey Books
1200,Kyle Books
1201,G.P. Putnam's Sons Books for Young Readers
1202,Fischer Taschenbuch Verlag
1203,Hard Press
1204,Verba Mundi
1205,Orchard Books
1206,Arden Shakespeare
1207,Dutton Adult
1208,Folio
1209,Coffee House Press
1210,Macmillan Children's Books
1211,Lasser Press
1212,Pelican Publishing Company
1213,Canongate Books
1214,Editions de l'Olivier
1215,Wings Books
